[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.251] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.252] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.252] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.252] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_21, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.262] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.263] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.263] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.263] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.263] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_22, Total msg: 300
[00:00:10.274] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.274] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.274] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.274] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.275] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_23, Total msg: 300
[00:00:10.286] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.286] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.287] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_24, Total msg: 300
[00:00:10.302] (7f95cd7ed700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.303] (7f95cd7ed700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684085
[00:00:10.307] (7f95ccde8700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.307] (7f95ccde8700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684089
[00:00:10.393] (7f95cd5ec700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.394] (7f95cd5ec700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684175
[00:00:10.404] (7f95cdbef700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
[00:00:10.405] (7f95cd3eb700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.411] (7f95cd3eb700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325684192
[00:00:10.413] (7f95ccfe9700) INFO   [Starting actor] Cam id: cam_1, sequence: 1
